SecurityID,OptionID,Exchange,Currency,BID_PRICE,UnderlyingBid,ASK_PRICE,UnderlyingAsk,Last,UnderlyingLast,MARK_IV,DELTA,GAMMA,VEGA,THETA,CalculationPrice,Volume,OpenInterest,SpecialSettlement,ReferenceExchange,Date,BidTime,AskTime,LastTime,Description,STRIKE,OPTION_RIGHT,ContractSize,OptionStyle,Version,ExerciseStyle,Expiration,StartDate,VALOR,Issuer,SEDOL,ISIN,NEGOTIATED_PRICE,MONEYNESS,EXPIRY_DATE,QUOTE_DATE,DTE
500096,153779813,21,814,24.00728416442871,79.75,24.017284164428716,79.75,5.6500000954,79.75,0.7108456492424011,0.0073666721582412,0.0046126889064908,11.750770568847656,-38.26565933227539,S,0,0,1,44,2013-03-15,0:00:00,0:00:00,17:54:00,ADSE C 74 MAY13/N,74000,C,100,0,2,E,2013-05-17,2013-02-18,11730015,adidas AG,4031976,DE000A1EWWW0,0.0100000000000015,0.0010777027027027,2013-05-17,2013-03-15,63
500096,153123147,21,814,24.41073608398437,71.669998169,24.420736083984377,71.669998169,0.1800000072,71.669998169,0.6459099054336548,-0.0163465961813926,0.0058164452202618,11.100666046142578,-25.332334518432617,S,0,0,1,44,2013-03-06,0:00:00,0:00:00,17:46:00,ADSE C 76 MAR13/N,76000,C,100,0,1,E,2013-03-15,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0,0.0100000000000015,0.0009430262916973,2013-03-15,2013-03-06,9
500096,153779813,21,814,24.17415809631348,78.88999939,24.18415809631348,78.88999939,5.0199999809,78.88999939,0.6738511919975281,0.3431265950202942,0.0047492166049778,16.62388038635254,-34.953346252441406,S,0,0,1,44,2013-03-13,0:00:00,0:00:00,17:51:00,ADSE C 74 MAY13/N,74000,C,100,0,2,E,2013-05-17,2013-02-18,11730015,adidas AG,4031976,DE000A1EWWW0,0.0100000000000015,0.0010660810728378,2013-05-17,2013-03-13,65
500096,153532278,21,814,25.23513984680176,76.379997253,25.24513984680176,76.379997253,3.0899999142,76.379997253,0.6337785124778748,-0.2699496150016784,0.0058696162886917,23.33666038513184,-30.347919464111328,S,0,0,1,44,2013-03-07,0:00:00,0:00:00,17:53:00,ADSE C 92 DEC14/N,92000,C,100,0,2,E,2014-12-19,2012-09-10,11730015,adidas AG,4031976,DE000A1EWWW0,0.0100000000000015,0.0008302173614456,2014-12-19,2013-03-07,652
500096,153779813,21,814,24.378475189208984,77.75,24.388475189208982,77.75,4.1700000763,77.75,0.6628742814064026,0.2736334204673767,0.0049752839840948,13.515456199645996,-30.2028865814209,S,0,0,1,44,2013-03-11,0:00:00,0:00:00,17:53:00,ADSE C 74 MAY13/N,74000,C,100,0,2,E,2013-05-17,2013-02-18,11730015,adidas AG,4031976,DE000A1EWWW0,0.0100000000000015,0.0010506756756756,2013-05-17,2013-03-11,67
500096,153779813,21,814,24.22794342041016,76.379997253,24.23794342041016,76.379997253,3.3900001049,76.379997253,0.6509981155395508,0.3103399574756622,0.0050811497494578,14.865325927734377,-30.17612838745117,S,0,0,1,44,2013-03-07,0:00:00,0:00:00,17:53:00,ADSE C 74 MAY13/N,74000,C,100,0,2,E,2013-05-17,2013-02-18,11730015,adidas AG,4031976,DE000A1EWWW0,0.0100000000000015,0.0010321621250405,2013-05-17,2013-03-07,71
500096,153532278,21,814,25.85881233215332,71.63999939,26.079116821289062,71.63999939,2.0299999714,71.63999939,0.6094368100166321,-0.3286219239234924,0.0064039542339742,25.25815773010254,-29.765743255615234,S,0,0,1,44,2013-03-05,0:00:00,0:00:00,18:01:00,ADSE C 92 DEC14/N,92000,C,100,0,2,E,2014-12-19,2012-09-10,11730015,adidas AG,4031976,DE000A1EWWW0,0.2203044891357422,0.0007786956455434,2014-12-19,2013-03-05,654
500096,153779813,21,814,24.439453125,71.63999939,24.449453125,71.63999939,1.5199999809,71.63999939,0.6552711129188538,0.3160829842090606,0.0057882359251379,14.866411209106444,-25.169750213623047,S,0,0,1,44,2013-03-05,0:00:00,0:00:00,18:01:00,ADSE C 74 MAY13/N,74000,C,100,0,2,E,2013-05-17,2013-02-18,11730015,adidas AG,4031976,DE000A1EWWW0,0.0100000000000015,0.0009681080998648,2013-05-17,2013-03-05,73
500096,153123147,21,814,24.48614883422852,70.279998779,24.49614883422852,70.279998779,0.1400000006,70.279998779,0.6102273464202881,0.003938065841794,0.0059450534172356,12.782547950744627,-23.9604434967041,S,0,0,1,44,2013-03-04,0:00:00,0:00:00,17:50:00,ADSE C 76 MAR13/N,76000,C,100,0,1,E,2013-03-15,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0,0.0100000000000015,0.0009247368260394,2013-03-15,2013-03-04,11
500096,153779817,21,814,23.97849464416504,79.75,24.02320098876953,79.75,4.2600002289,79.75,0.7049271464347839,0.0888694748282432,0.0045719374902546,12.297374725341797,-38.35649490356445,S,0,0,1,44,2013-03-15,0:00:00,0:00:00,17:54:00,ADSE C 76 MAY13/N,76000,C,100,0,2,E,2013-05-17,2013-02-18,11730015,adidas AG,4031976,DE000A1EWWW0,0.0447063446044921,0.0010493421052631,2013-05-17,2013-03-15,63
