symbol,time,spot,type,due_date,strike,premium,maturity_type,days_to_maturity,moneyness,delta,gamma,vega,theta,rho,volatility,poe,bs,variação
PETRX462,2022-11-16T00:00:00.000Z,"{'price': 27.15, 'symbol': 'PETR4'}",PUT,2022-12-16T00:00:00.000Z,46.27,18.13,EUROPEAN,22,ITM,-0.990674,0.0042765661685963,0.0020115933517577,0.0003053939472801,-0.040118150124078,73.094,99.49,19.0565,0.9265000000000008
PETRX324,2022-11-04T00:00:00.000Z,"{'price': 28.3, 'symbol': 'PETR4'}",PUT,2022-12-16T00:00:00.000Z,38.02,9.24,EUROPEAN,30,ITM,-0.842769,0.0329381145563599,0.0234875871732582,-0.0265774071642266,-0.0404979523724111,74.79,89.69,10.1678,0.9277999999999995
PETRM232,2022-11-23T00:00:00.000Z,"{'price': 23.44, 'symbol': 'PETR4'}",PUT,2023-01-20T00:00:00.000Z,29.26,5.47,EUROPEAN,42,ITM,-0.774496,0.0514990882593809,0.0287360866874528,-0.0188967372728913,-0.040922492170466,60.935,84.19,6.3993,0.9293000000000005
PETRX312,2022-11-14T00:00:00.000Z,"{'price': 27.7, 'symbol': 'PETR4'}",PUT,2022-12-16T00:00:00.000Z,38.77,10.44,EUROPEAN,23,ITM,-0.881423,0.0280497801642123,0.0165999450937575,-0.0276555296070241,-0.0326612564264084,84.506,92.47,11.3699,0.9299
PETRM500,2022-11-07T00:00:00.000Z,"{'price': 27.15, 'symbol': 'PETR4'}",PUT,2023-01-20T00:00:00.000Z,36.77,8.53,EUROPEAN,53,ITM,-1.0,0.0,0.0,0.002906004580463,-0.0770089528340054,0.0,100.0,9.4657,0.9357000000000006
PETRX382,2022-11-07T00:00:00.000Z,"{'price': 27.15, 'symbol': 'PETR4'}",PUT,2022-12-16T00:00:00.000Z,40.52,12.34,EUROPEAN,28,ITM,-1.0,0.0,0.0,0.0032087345730724,-0.0449222391007308,0.0,100.0,13.2801,0.9400999999999993
PETRX426,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",PUT,2022-12-16T00:00:00.000Z,43.77,13.23,EUROPEAN,33,ITM,-0.893583,0.0223918659973204,0.0198397002301306,-0.019568788019151,-0.0534973700141703,75.885,93.58,14.1703,0.9402999999999988
PETRO306,2022-11-22T00:00:00.000Z,"{'price': 23.33, 'symbol': 'PETR4'}",PUT,2023-03-17T00:00:00.000Z,29.26,5.55,EUROPEAN,83,ITM,-0.761798,0.0508491194694595,0.0414525840681962,-0.0094297367981346,-0.0799176465248676,45.474,83.47,6.4914,0.9413999999999998
PETRW321,2022-11-04T00:00:00.000Z,"{'price': 28.3, 'symbol': 'PETR4'}",PUT,2022-11-18T00:00:00.000Z,39.02,10.49,EUROPEAN,10,ITM,-0.817555,0.0308631899491905,0.0149184202627947,-0.1107031373980619,-0.0137187481169272,152.091,88.67,11.434,0.9439999999999991
PETRL206,2022-11-11T00:00:00.000Z,"{'price': 26.99, 'symbol': 'PETR4'}",CALL,2022-12-16T00:00:00.000Z,17.52,8.56,EUROPEAN,25,ITM,1.0,0.0,0.0,-0.001387720054014,0.0173464396154934,0.0,100.0,9.5047,0.9446999999999992
PETRX261,2022-11-21T00:00:00.000Z,"{'price': 26.78, 'symbol': 'PETR4'}",PUT,2022-12-16T00:00:00.000Z,33.02,6.0,EUROPEAN,18,ITM,-0.772986,0.0469902275004916,0.0215739669408073,-0.0515153430471237,-0.0197481307689582,89.625,83.85,6.9467,0.9466999999999999
PETRW321,2022-11-03T00:00:00.000Z,"{'price': 29.95, 'symbol': 'PETR4'}",PUT,2022-11-18T00:00:00.000Z,39.02,8.92,EUROPEAN,11,ITM,-0.7946610000000001,0.0345747926993952,0.0177963587807711,-0.1036658362082688,-0.0146991896037369,131.457,86.38,9.8743,0.9542999999999999
PETRX292,2022-11-09T00:00:00.000Z,"{'price': 26.9, 'symbol': 'PETR4'}",PUT,2022-12-16T00:00:00.000Z,37.02,9.1,EUROPEAN,27,ITM,-0.988622,0.0081971123241461,0.0026260323503001,0.0008991508742207,-0.0392661236733837,41.321,99.21,10.0544,0.9543999999999997
PETRM445,2022-11-29T00:00:00.000Z,"{'price': 25.38, 'symbol': 'PETR4'}",PUT,2023-01-20T00:00:00.000Z,41.26,14.8,EUROPEAN,38,ITM,-1.0,0.0,0.0,0.0032647422415505,-0.0620302462381189,0.0,100.0,15.7558,0.9558
PETRX419,2022-11-07T00:00:00.000Z,"{'price': 27.15, 'symbol': 'PETR4'}",PUT,2022-12-16T00:00:00.000Z,42.02,14.34,EUROPEAN,28,ITM,-0.86951,0.0232307207078513,0.0191946784026536,-0.0314915619663929,-0.0432265976117729,100.884,92.79,15.2968,0.9567999999999994
