symbol,time,spot,type,due_date,strike,premium,maturity_type,days_to_maturity,moneyness,delta,gamma,vega,theta,rho,volatility,poe,bs,variação
VALEW893,2022-11-09T00:00:00.000Z,"{'price': 73.15, 'symbol': 'VALE3'}",PUT,2022-11-18T00:00:00.000Z,89.34,15.47,EUROPEAN,7,ITM,-0.904787,0.0160359664591932,0.0206402084770052,-0.1210959426883772,-0.0229919111343674,86.594,92.7,16.585,1.1150000000000002
VALEX892,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,85.91,15.4,EUROPEAN,33,ITM,-1.0,0.0,0.0,0.0068004200524445,-0.1122066044451717,0.0,100.0,16.5153,1.1152999999999995
VALEK688,2022-11-17T00:00:00.000Z,"{'price': 83.1, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,68.84,13.15,EUROPEAN,1,ITM,1.0,0.0,0.0,-0.005463058497966,0.002731354431111,0.0,100.0,14.2655,1.115499999999999
VALEX524,2022-11-25T00:00:00.000Z,"{'price': 80.9, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,147.91,65.79,EUROPEAN,15,ITM,-0.988848,0.0014498284304489,0.005784501525496,-0.0080881019018923,-0.0874428156544756,102.414,99.44,66.9057,1.1156999999999897
VALEX992,2022-11-22T00:00:00.000Z,"{'price': 80.14, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,95.91,14.5,EUROPEAN,18,ITM,-0.999998,2.9258363806672543e-06,1.927654216354178e-06,0.0076002541023063,-0.068409618432368,14.362,100.0,15.6331,1.1331000000000007
VALEN900,2022-11-09T00:00:00.000Z,"{'price': 73.15, 'symbol': 'VALE3'}",PUT,2023-02-17T00:00:00.000Z,86.66,11.88,EUROPEAN,72,ITM,-1.0,0.0,0.0,0.0068385883062222,-0.2461889328348232,0.0,100.0,13.0162,1.1361999999999988
VALEX957,2022-11-22T00:00:00.000Z,"{'price': 80.14, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,92.41,11.0,EUROPEAN,18,ITM,-1.0,0.0,0.0,0.0073236570773303,-0.0659133091734552,0.0,100.0,12.1381,1.1380999999999997
VALEW911,2022-11-09T00:00:00.000Z,"{'price': 73.15, 'symbol': 'VALE3'}",PUT,2022-11-18T00:00:00.000Z,87.84,13.5,EUROPEAN,7,ITM,-1.0,0.0,0.0,0.0069675566002271,-0.0243866431923799,0.0,100.0,14.6412,1.1411999999999995
VALEX937,2022-11-07T00:00:00.000Z,"{'price': 71.87, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,90.41,17.19,EUROPEAN,28,ITM,-1.0,0.0,0.0,0.0071594692189408,-0.1002324688326029,0.0,100.0,18.3393,1.1493000000000002
VALEX917,2022-11-25T00:00:00.000Z,"{'price': 80.9, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,88.41,6.25,EUROPEAN,15,ITM,-1.0,0.0,0.0,0.0070083184355203,-0.0525625564660454,0.0,100.0,7.4048,1.1547999999999998
VALEW99,2022-11-07T00:00:00.000Z,"{'price': 71.87, 'symbol': 'VALE3'}",PUT,2022-11-18T00:00:00.000Z,99.84,26.75,EUROPEAN,8,ITM,-1.0,0.0,0.0,0.0079187801354652,-0.0316750888667404,0.0,100.0,27.9066,1.156600000000001
VALEW893,2022-11-04T00:00:00.000Z,"{'price': 72.25, 'symbol': 'VALE3'}",PUT,2022-11-18T00:00:00.000Z,89.34,15.84,EUROPEAN,10,ITM,-1.0,0.0,0.0,0.0070848509956841,-0.0354246658997786,0.0,100.0,17.0191,1.1791000000000018
VALEW848,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",PUT,2022-11-18T00:00:00.000Z,84.84,14.4,EUROPEAN,13,ITM,-1.0,0.0,0.0,0.0067263898665421,-0.043721278529709,0.0,100.0,15.5825,1.1824999999999992
VALEW858,2022-11-04T00:00:00.000Z,"{'price': 72.25, 'symbol': 'VALE3'}",PUT,2022-11-18T00:00:00.000Z,85.84,12.43,EUROPEAN,10,ITM,-0.964392,0.0116996075522735,0.0112793586221041,-0.0196367720070316,-0.0330523124880061,46.541,97.11,13.6135,1.1835000000000004
VALEX496,2022-11-21T00:00:00.000Z,"{'price': 79.92, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,146.91,65.59,EUROPEAN,18,ITM,-1.0,0.0,0.0,0.0116428791389525,-0.104786540966046,0.0,100.0,66.7803,1.1902999999999935
VALEX957,2022-11-29T00:00:00.000Z,"{'price': 84.44, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,92.41,7.5,EUROPEAN,13,ITM,-0.80969,0.0333718159571986,0.0520963487660334,-0.0789248436823405,-0.0397533117472477,42.442,83.48,8.6905,1.1905000000000001
VALEX992,2022-11-18T00:00:00.000Z,"{'price': 80.83, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,95.91,13.73,EUROPEAN,20,ITM,-1.0,0.0,0.0,0.0075998319695826,-0.0759982436975065,2.465,100.0,14.9279,1.1978999999999989
VALEX496,2022-11-24T00:00:00.000Z,"{'price': 81.45, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,146.91,64.15,EUROPEAN,16,ITM,-0.988274,0.0015257921644981,0.0062832574696282,-0.0076216744666276,-0.0925990597657307,97.766,99.4,65.3487,1.198699999999988
VALEW821,2022-11-03T00:00:00.000Z,"{'price': 67.15, 'symbol': 'VALE3'}",PUT,2022-11-18T00:00:00.000Z,78.84,11.4,EUROPEAN,11,ITM,-0.8198179999999999,0.0243716858874611,0.0368369154948451,-0.1232098042329319,-0.0295306095509025,76.791,85.88,12.6008,1.2007999999999992
VALEW978,2022-11-04T00:00:00.000Z,"{'price': 72.25, 'symbol': 'VALE3'}",PUT,2022-11-18T00:00:00.000Z,97.84,24.3,EUROPEAN,10,ITM,-1.0,0.0,0.0,0.0077589189771405,-0.0387950449030036,0.0,100.0,25.5124,1.2123999999999988
VALEX852,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,81.91,11.32,EUROPEAN,33,ITM,-0.9903,0.0053490418191022,0.0064959799542063,0.0045240203706639,-0.106124013826072,19.383,99.2,12.5413,1.2212999999999994
VALEO884,2022-11-10T00:00:00.000Z,"{'price': 74.55, 'symbol': 'VALE3'}",PUT,2023-03-17T00:00:00.000Z,88.41,12.0,EUROPEAN,91,ITM,-0.998267,0.0013491430681946,0.0024935105424875,0.0068299090255265,-0.316501512026939,9.209,99.86,13.2258,1.2257999999999996
VALEW883,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",PUT,2022-11-18T00:00:00.000Z,88.34,18.6,EUROPEAN,13,ITM,-0.875391,0.0152346852702158,0.0322698397460176,-0.1001348736782762,-0.0414749244752249,85.82,91.1,19.8472,1.2471999999999994
VALEX922,2022-11-04T00:00:00.000Z,"{'price': 72.25, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,88.91,15.2,EUROPEAN,30,ITM,-1.0,0.0,0.0,0.0070395683063961,-0.1055938624952212,0.0,100.0,16.4486,1.2485999999999997
VALEU104,2022-11-14T00:00:00.000Z,"{'price': 83.31, 'symbol': 'VALE3'}",PUT,2024-09-20T00:00:00.000Z,104.0,15.5,EUROPEAN,483,ITM,-1.0,0.0,0.0,0.0079435537062327,-1.9183685536844544,0.0,100.0,16.7788,1.2788000000000004
VALEX3,2022-11-18T00:00:00.000Z,"{'price': 80.83, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,104.91,22.63,EUROPEAN,20,ITM,-1.0,0.0,0.0,0.0083129847975071,-0.0831297648452237,0.0,100.0,23.9136,1.2835999999999999
VALEW883,2022-11-09T00:00:00.000Z,"{'price': 73.15, 'symbol': 'VALE3'}",PUT,2022-11-18T00:00:00.000Z,88.34,14.05,EUROPEAN,7,ITM,-0.943184,0.0135966815890142,0.0139142829067976,-0.0617341753703959,-0.0234251214663049,68.849,95.51,15.3359,1.2858999999999998
VALEW102,2022-11-09T00:00:00.000Z,"{'price': 73.15, 'symbol': 'VALE3'}",PUT,2022-11-18T00:00:00.000Z,95.34,20.85,EUROPEAN,7,ITM,-1.0,0.0,0.0,0.0075624640968312,-0.0264688360879041,0.0,100.0,22.137,1.286999999999999
VALEX841,2022-11-09T00:00:00.000Z,"{'price': 73.15, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,84.41,9.79,EUROPEAN,27,ITM,-0.990884,0.0056957448755133,0.0058859076810049,0.0046683018759775,-0.0895452365472756,18.025,99.22,11.0923,1.3023000000000007
