symbol,time,spot,type,due_date,strike,premium,maturity_type,days_to_maturity,moneyness,delta,gamma,vega,theta,rho,volatility,poe,bs
VALED788,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2023-04-20T00:00:00.000Z,75.55,6.2,AMERICAN,122,OTM,0.458453,0.018775673101136873,0.19096066446925103,-0.03638901111346141,0.1235067966540818,43.909,34.1,6.2
VALED868,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2023-04-20T00:00:00.000Z,83.55,4.0,AMERICAN,122,OTM,0.333622,0.017122174885883232,0.17505293079844314,-0.03318016351420884,0.09235534686183475,44.138,23.05,4.0
VALEF100,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2024-06-21T00:00:00.000Z,96.66,7.9,AMERICAN,428,OTM,0.391492,0.010142555289180488,0.34623886917911006,-0.018514457666217118,0.3257468884814397,42.01,20.53,7.9
VALEF80,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2024-06-21T00:00:00.000Z,76.66,14.05,AMERICAN,428,OTM,0.568589,0.009761315988802048,0.35429598819123187,-0.020493502227177125,0.42934638843219053,44.666,34.12,14.05
VALEG856,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2023-07-21T00:00:00.000Z,85.66,5.0,AMERICAN,188,OTM,0.355768,0.014907067631162127,0.22259353434792392,-0.026322002616446648,0.14628573894902405,41.834,23.24,5.0
VALEI540,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2024-09-20T00:00:00.000Z,54.0,28.0,AMERICAN,493,ITM,0.775595,0.005603218424792835,0.2897237601601783,-0.018267538190405785,0.5017611578509141,55.241,49.39,28.0001
VALEK101,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,94.34,0.02,EUROPEAN,13,OTM,0.007388,0.0023875825716537682,0.0032104251874835433,-0.006765947663012734,0.0002532945169722682,54.479,0.52,0.02
VALEK102,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,95.34,0.03,AMERICAN,13,OTM,0.009984,0.0028796696091142326,0.0041813294037129686,-0.00951348114006734,0.0003407818259862776,58.83,0.69,0.03
VALEK503,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,50.34,19.1,AMERICAN,13,ITM,0.961566,0.006332369251432415,0.013105478772434042,-0.04602899045316498,0.024458175522246786,83.852,94.28,19.1
VALEK523,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,52.34,17.2,AMERICAN,13,ITM,0.94574,0.008599022806029824,0.017290421573715506,-0.05800379095200085,0.024873607978557737,81.467,92.22,17.2
VALEK528,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,52.84,17.2,EUROPEAN,13,ITM,0.901588,0.010906056040154585,0.02725067341914096,-0.1096903932036223,0.023298137824071072,101.236,85.56,17.2
VALEK563,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,56.34,14.4,AMERICAN,13,ITM,0.840872,0.01497634278872916,0.03808882376946771,-0.1544265957892475,0.02257605082371869,103.042,77.76,14.4001
VALEK568,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,56.84,13.91,EUROPEAN,13,ITM,0.836379,0.01565621898460826,0.03878683791715498,-0.1532265898566291,0.022668524512598053,100.374,77.39,13.91
VALEK573,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,57.34,13.43,AMERICAN,13,ITM,0.831198,0.016368282205510655,0.039575658316780865,-0.1526070654210353,0.022731264598821993,97.96,76.93,13.43
VALEK583,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,58.34,11.51,AMERICAN,13,ITM,0.886176,0.018386164456189426,0.030271945099126087,-0.08161946720371302,0.02568350445664744,66.707,85.43,11.51
VALEK588,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,58.84,11.97,EUROPEAN,13,ITM,0.815194,0.018830435394438627,0.04190849920784733,-0.14886919283406688,0.02291337129936728,90.171,75.57,11.97
VALEK593,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,59.34,11.55,AMERICAN,13,ITM,0.806106,0.01962565033860229,0.043165333144713894,-0.15145333134544112,0.022805764987497174,89.112,74.58,11.55
VALEK603,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,60.34,10.55,AMERICAN,13,ITM,0.794635,0.021758205969622725,0.04468453116590136,-0.14652784237791666,0.022912312557996604,83.207,73.68,10.55
VALEK608,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,60.84,8.9,EUROPEAN,13,ITM,0.87871,0.025011724682794337,0.031664674205416354,-0.0665858033125605,0.02676353261707745,51.293,85.36,8.9
VALEK613,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,61.34,8.59,AMERICAN,13,ITM,0.851144,0.027110420177830167,0.03644362814610938,-0.08033219712026764,0.025939787820823748,54.464,82.06,8.5901
VALEK618,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,61.84,8.11,EUROPEAN,13,ITM,0.843112,0.02911046623248263,0.037735967641692424,-0.08021288410528159,0.02590083966497551,52.521,81.27,8.11
VALEK623,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,62.34,7.63,AMERICAN,13,ITM,0.834494,0.03132574770768057,0.03907575261839219,-0.07993234685091999,0.025840944131307,50.539,80.44,7.63
VALEK628,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,62.84,7.31,EUROPEAN,13,ITM,0.809264,0.03306807169908969,0.04273408200012656,-0.08992084084072946,0.025105735315732864,52.359,77.53,7.31
VALEK633,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,63.34,6.91,AMERICAN,13,ITM,0.792117,0.03509252267303584,0.0450081659046445,-0.09375424899886507,0.024700222972219407,51.964,75.67,6.91
VALEK638,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,63.84,6.51,EUROPEAN,13,ITM,0.774656,0.037183539988323515,0.04715845166638109,-0.09693719034521879,0.024283509756607365,51.385,73.81,6.51
VALEK648,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,64.84,5.71,EUROPEAN,13,ITM,0.73823,0.041659372388416285,0.051137273702016435,-0.10141679980349544,0.0233964444695192,49.734,70.02,5.71
VALEK658,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,65.84,4.91,EUROPEAN,13,ITM,0.698866,0.04670587831108654,0.05471705096269664,-0.10333806633276052,0.022404562477775527,47.465,66.03,4.9099
VALEK663,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,66.34,5.03,AMERICAN,13,ATM,0.656911,0.04238698038771076,0.05776267380020855,-0.12587055594928415,0.02084553565702704,55.213,60.97,5.03
VALEK668,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,66.84,4.16,EUROPEAN,13,ATM,0.653011,0.051694957609867864,0.05800697089668699,-0.10468446337143651,0.021155204784253766,45.463,61.42,4.16
VALEK673,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,67.34,3.63,AMERICAN,13,ATM,0.63384,0.05759709634759207,0.05911439869930856,-0.09773665242440698,0.02074453862754876,41.583,59.78,3.63
VALEK676,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,64.34,5.89,AMERICAN,13,ITM,0.774533,0.04147959335999381,0.04717290525665506,-0.08738406423917136,0.024598966727711655,46.077,74.19,5.89
VALEK678,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,67.84,3.28,EUROPEAN,13,ATM,0.605577,0.06033155830038826,0.06046769464082963,-0.09750403741016553,0.01991659555788014,40.607,56.97,3.28
VALEK683,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,68.34,3.08,AMERICAN,13,ATM,0.573534,0.05964068503670367,0.061607800125809714,-0.10207449599982482,0.01887639225666306,41.852,53.6,3.08
VALEK686,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,65.34,4.95,AMERICAN,13,ITM,0.74517,0.04897083776431074,0.05042999040404477,-0.08462492123165856,0.024036149851783813,41.723,71.38,4.95
VALEK688,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,68.84,2.75,EUROPEAN,13,ATM,0.543439,0.06197501110288788,0.06230361481410747,-0.10036807187325429,0.017972749802550134,40.731,50.66,2.75
VALEK693,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,69.34,2.55,AMERICAN,13,ATM,0.512749,0.06122726174471087,0.06264358839402989,-0.10248859294617627,0.01698079215918354,41.453,47.52,2.55
VALEK713,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,71.34,1.63,AMERICAN,13,ATM,0.388386,0.06103234037210264,0.06020627318196138,-0.0945528324772705,0.013017767401443309,39.967,35.41,1.6301
VALEK718,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,71.84,1.49,EUROPEAN,13,ATM,0.361362,0.05891363178350181,0.058851720406503445,-0.09347825468460907,0.012125740687157242,40.473,32.75,1.49
VALEK728,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,72.84,1.15,EUROPEAN,13,OTM,0.302953,0.055910795873074265,0.0548653573672469,-0.08547033336836911,0.010216956202112265,39.758,27.22,1.15
VALEK731,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,69.84,2.18,EUROPEAN,13,ATM,0.479218,0.06466993709574384,0.06259048716019727,-0.096856775291921,0.015975165586821456,39.213,44.39,2.1801
VALEK733,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,73.34,0.95,AMERICAN,13,OTM,0.269111,0.054698430343773294,0.051860110319956826,-0.07802251235823063,0.00911257503187219,38.413,24.11,0.9499
VALEK736,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,70.34,2.02,AMERICAN,13,ATM,0.449307,0.06284617282325647,0.06216881937437853,-0.09814026840062363,0.01499043312694077,40.079,41.35,2.02
VALEK738,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,73.84,0.87,EUROPEAN,13,OTM,0.24842,0.05154511190137451,0.04975601320540008,-0.07613870874372274,0.008415513949116918,39.11,22.12,0.87
VALEK741,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,70.84,1.75,EUROPEAN,13,ATM,0.415273,0.06376713910883156,0.06125667214469762,-0.0938395464601636,0.01391534620276462,38.921,38.12,1.7499
VALEK743,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,74.34,0.74,AMERICAN,13,OTM,0.2215,0.04904855534115004,0.04669892175821426,-0.07044250123098095,0.00752202195359447,38.575,19.63,0.7399
VALEK748,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,74.84,0.68,EUROPEAN,13,OTM,0.204406,0.04591568158260116,0.04456041881463579,-0.06845743981387041,0.006942954470045198,39.32,18.0,0.68
VALEK756,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,72.34,1.38,AMERICAN,13,ATM,0.337281,0.05630769108194391,0.05738688045308545,-0.09288243344291139,0.011323216913218135,41.292,30.37,1.38
VALEK758,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,75.84,0.52,EUROPEAN,13,OTM,0.165084,0.04016626755983734,0.03901133987912778,-0.05990869121439289,0.0056223580343922625,39.351,14.39,0.5201
VALEK768,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,76.84,0.4,EUROPEAN,13,OTM,0.13282,0.03452317857356696,0.03373075209338289,-0.05205380406003561,0.004533046791118104,39.586,11.45,0.4
VALEK783,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,78.34,0.29,AMERICAN,13,OTM,0.09934,0.02723505467054196,0.027438412988460406,-0.04359909674807449,0.0033951288750893906,40.818,8.41,0.29
VALEK793,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,79.34,0.22,AMERICAN,13,OTM,0.078462,0.02274453638721918,0.023015300156142726,-0.036705156745217286,0.0026862297150672676,40.998,6.57,0.22
VALEK798,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,79.84,0.21,EUROPEAN,13,OTM,0.073995,0.02125166610295445,0.02201108984058634,-0.035915308309905844,0.0025319968240649555,41.964,6.15,0.21
VALEK799,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2023-11-17T00:00:00.000Z,72.94,11.5,AMERICAN,273,OTM,0.562272,0.012595403276773748,0.28370980158436665,-0.02475517863635725,0.29675116855710787,43.457,38.38,11.4999
VALEK803,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,80.34,0.18,AMERICAN,13,OTM,0.064951,0.019249083769765148,0.01990824955996646,-0.03242782533859043,0.0022247917031782208,41.903,5.37,0.18
VALEK806,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,77.34,0.4,AMERICAN,13,OTM,0.128539,0.0323765271582664,0.03297523779308397,-0.053009706477353244,0.004380280851047394,41.265,10.99,0.4
VALEK808,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,80.84,0.16,EUROPEAN,13,OTM,0.058397,0.01759521275813689,0.01832133961043031,-0.030036401857276247,0.002001217884797092,42.188,4.8,0.16
VALEK811,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,77.84,0.32,EUROPEAN,13,OTM,0.108895,0.029469994246997394,0.029327591499812965,-0.0460529904152169,0.003720565367159349,40.32,9.28,0.3201
VALEK813,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,81.34,0.15,AMERICAN,13,OTM,0.054443,0.016365289803145545,0.017336453116653244,-0.028905686899662324,0.001865291078685704,42.92,4.45,0.15
VALEK818,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,81.84,0.15,EUROPEAN,13,OTM,0.053141,0.015591255883758377,0.01700747683367842,-0.029190087878889354,0.0018188504541285183,44.196,4.31,0.15
VALEK821,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,78.84,0.25,EUROPEAN,13,OTM,0.087756,0.02486464464684765,0.02503723175207682,-0.03974844872775798,0.0030024203420056647,40.797,7.39,0.25
