symbol,time,spot,type,due_date,strike,premium,maturity_type,days_to_maturity,moneyness,delta,gamma,vega,theta,rho,volatility,poe,bs
PETRA425,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,42.52,0.17,EUROPEAN,58,OTM,0.065497,0.019811215574906265,0.018271206352438625,-0.007220488431729128,0.00411009816456248,44.942,4.22,0.17
PETRA430,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,29.77,2.72,AMERICAN,58,ATM,0.557499,0.06010752631589257,0.05655500276048138,-0.02345889427633926,0.03205408184957126,45.85,47.0,2.72
PETRA434,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,47.77,0.11,AMERICAN,58,OTM,0.04008,0.011641934440289143,0.01236459785877953,-0.005602816984074962,0.0025012971783465498,51.754,2.29,0.11
PETRA440,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,30.77,2.28,AMERICAN,58,ATM,0.497712,0.06078288735886136,0.05714878652566902,-0.023570366601613473,0.028957803254579025,45.816,41.08,2.28
PETRA442,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,44.27,0.13,AMERICAN,58,OTM,0.050668,0.015692868631409496,0.014931548712433912,-0.0060779291624334306,0.003182971903572411,46.366,3.14,0.13
PETRA444,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,48.77,0.1,AMERICAN,58,OTM,0.036318,0.01054655245886415,0.011409816484840891,-0.0052635138633860745,0.002265834144882742,52.718,2.03,0.1
PETRA450,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,31.77,1.86,AMERICAN,58,OTM,0.437661,0.060960749082998276,0.05645057130937842,-0.022848958145333897,0.025797434345313886,45.124,35.44,1.86
PETRA460,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,32.77,1.49,AMERICAN,58,OTM,0.378554,0.05988766374678018,0.054480699040356635,-0.02159891440848465,0.022586905094392325,44.33,30.09,1.49
PETRA470,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,33.77,1.18,AMERICAN,58,OTM,0.322481,0.05736118858317851,0.05139388297949696,-0.020014237556871557,0.019446767217993884,43.66,25.14,1.18
PETRA480,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,34.77,0.93,AMERICAN,58,OTM,0.27144,0.05355488446668972,0.04749195723856063,-0.018261381175195664,0.016514375229085044,43.213,20.73,0.93
PETRA500,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,36.77,0.62,AMERICAN,58,OTM,0.195258,0.0437725647308348,0.03952780562804023,-0.015408211064402997,0.01199226683765185,44.004,14.24,0.62
PETRA510,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,37.77,0.43,AMERICAN,58,OTM,0.149904,0.03855469180922693,0.03338654868869298,-0.012466184555510861,0.009312553887309397,42.198,10.76,0.43
PETRA520,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,38.77,0.32,AMERICAN,58,OTM,0.118575,0.033203682164739574,0.0284158121704189,-0.010471300280383525,0.0074126208148911485,41.703,8.35,0.32
